ID,OBO ID,Label,ParentIRI,Definition,definition ref,Namespace,Class Type,Exact Synonym,DbXref
ID,A oboInOwl:id,A rdfs:label,CI,A obo:IAO_0000115,>A oboInOwl:hasDbXref SPLIT=|,A oboInOwl:hasOBONamespace,CLASS_TYPE,A oboInOwl:hasExactSynonym SPLIT=|,A oboInOwl:hasDbXref SPLIT=|
GAZ:00000448,GAZ:00000448,geographic location,owl:Thing,"A reference to a place on the Earth, by its name or by its geographical location.",url:https://en.wikipedia.org/wiki/Location,,,,
GAZ:00000465,GAZ:00000465,Asia,GAZ:00000448,"Part of the landmass of Eurasia, with the western portion of the latter occupied by Europe, lying east of the Suez Canal, east of the Ural Mountains, and south of the Caucasus Mountains and the Caspian and Black Seas. It is bounded on the east by the Pacific Ocean, on the south by the Indian Ocean, and on the north by the Arctic Ocean.",url:http://en.wikipedia.org/wiki/Asia,,,,
GAZ:00000457,GAZ:00000457,Africa,GAZ:00000448,"A continent that is surrounded by the Mediterranean Sea to the north, the Suez Canal and the Red Sea to the northeast, the Indian Ocean to the southeast, and the Atlantic Ocean to the west. There are 46 countries including Madagascar, and 53 including all the island groups.",url:http://en.wikipedia.org/wiki/Africa,,,,
GAZ:00000464,GAZ:00000464,Europe,GAZ:00000448,A continent located entirely in the Northern Hemisphere and mostly in the Eastern Hemisphere. I,url:https://en.wikipedia.org/wiki/Europe,,,,
GAZ:00000468,GAZ:00000468,Oceania,GAZ:00000448,"A grouping term including Australia, New Zealand, the southwestern islands of the Pacific Ocean and the eastern islands of the Australasian Mediterranean Sea.",url:https://en.wikipedia.org/wiki/Oceania,,,,
GAZ:07000070,GAZ:07000070,Island Nation,GAZ:00000448,An island nation that is a country whose primary territory consists of one or more islands or parts of islands.,url:https://en.wikipedia.org/wiki/Island_country,,,,
GAZ:00006882,GAZ:00006882,Afghanistan,GAZ:00000465,"A landlocked country that is located approximately in the center of Asia. It is bordered by Pakistan in the south and east Iran in the west, Turkmenistan, Uzbekistan and Tajikistan in the north, and China in the far northeast. Afghanistan is administratively divided into thirty-four (34) provinces (welayats). Each province is then divided into many provincial districts, and each district normally covers a city or several townships.",url:http://en.wikipedia.org/wiki/Afghanistan,gaz,subclass,,wikidata:Q889
GAZ:00002953,GAZ:00002953,Albania,GAZ:00000464,"A country in South Eastern Europe. Albania is bordered by Greece to the south-east, Montenegro to the north, Kosovo to the northeast, and the Republic of Macedonia to the east. It has a coast on the Adriatic Sea to the west, and on the Ionian Sea to the southwest. From the Strait of Otranto, Albania is less than 100 km from Italy. Albania is divided into 12 administrative divisions called (Albanian: official qark/qarku, but often prefekture/prefektura Counties), 36 districts (Rrethe) and 351 municipalities (Bashkia) and communes (Komuna).",url:http://en.wikipedia.org/wiki/Albania,gaz,subclass,,wikidata:Q222
GAZ:00000563,GAZ:00000563,Algeria,GAZ:00000457,"A country in North Africa. It is bordered by Tunisia in the northeast, Libya in the east, Niger in the southeast, Mali and Mauritania in the southwest, a few km of the Western Sahara in the west, Morocco in the northwest, and the Mediterranean Sea in the north. It divided into 48 provinces (wilayas), 553 districts (dairas) and 1,541 municipalities (communes, baladiyahs).",url:http://en.wikipedia.org/wiki/Algeria,gaz,subclass,,wikidata:Q262
GAZ:00002948,GAZ:00002948,Andorra,GAZ:00000464,"A small landlocked country in western Europe, located in the eastern Pyrenees mountains and bordered by Spain (Catalonia) and France. Andorra consists of seven communities known as parishes (Catalan: parroquies, singular - parroquia). Until relatively recently, it had only six parishes; the seventh, Escaldes-Engordany, was created in 1978. Some parishes have a further territorial subdivision. Ordino, La Massana and Sant Julia de Loria are subdivided into quarts (quarters), while Canillo is subdivided into veinats (neighborhoods). Those mostly coincide with villages, which are found in all parishes.",url:http://en.wikipedia.org/wiki/Andorra,gaz,subclass,,wikidata:Q228
GAZ:00001095,GAZ:00001095,Angola,GAZ:00000457,"A country in south-central Africa bordering Namibia to the south, Democratic Republic of the Congo to the north, and Zambia to the east, and with a west coast along the Atlantic Ocean. The exclave province Cabinda has a border with the Republic of the Congo and the Democratic Republic of the Congo.",url:http://en.wikipedia.org/wiki/Angola,gaz,subclass,,wikidata:Q916
GAZ:00000462,GAZ:00000462,Antarctica,GAZ:00000448,"The Earth's southernmost continent, overlying the South Pole. It is situated in the southern hemisphere, almost entirely south of the Antarctic Circle, and is surrounded by the Southern Ocean.",url:http://en.wikipedia.org/wiki/Antarctica,gaz,subclass,,wikidata:Q51
GAZ:00006883,GAZ:00006883,Antigua and Barbuda,GAZ:07000070,An island nation located on the eastern boundary of the Caribbean Sea with the Atlantic Ocean.,url:http://en.wikipedia.org/wiki/Antigua_and_Barbuda,gaz,subclass,,wikidata:Q781
GAZ:00002928,GAZ:00002928,Argentina,GAZ:00000459,"A South American country, constituted as a federation of twenty-three provinces and an autonomous city. It is bordered by Paraguay and Bolivia in the north, Brazil and Uruguay in the northeast, and Chile in the west and south. The country claims the British controlled territories of the Falkland Islands and South Georgia and the South Sandwich Islands. Argentina also claims 969,464 km2 of Antarctica, known as Argentine Antarctica, overlapping other claims made by Chile and the United Kingdom. Argentina is subdivided into twenty-three provinces (Spanish: provincias, singular provincia) and one federal district (Capital de la Republica or Capital de la Nacion, informally the Capital Federal). The federal district and the provinces have their own constitutions, but exist under a federal system. Provinces are then divided into departments (Spanish: departamentos, singular departamento), except for Buenos Aires Province, which is divided into partidos.",url:http://en.wikipedia.org/wiki/Argentina,gaz,subclass,,wikidata:Q414
GAZ:00004094,GAZ:00004094,Armenia,GAZ:00000465,"A landlocked mountainous country in Eurasia between the Black Sea and the Caspian Sea in the Southern Caucasus. It borders Turkey to the west, Georgia to the north, Azerbaijan to the east, and Iran and the Nakhchivan exclave of Azerbaijan to the south. A transcontinental country at the juncture of Eastern Europe and Western Asia. A former republic of the Soviet Union. Armenia is divided into ten marzes (provinces, singular marz), with the city (kaghak) of Yerevan having special administrative status as the country's capital.",url:http://en.wikipedia.org/wiki/Armenia,gaz,subclass,,wikidata:Q399
GAZ:00000463,GAZ:00000463,Australia,GAZ:00000468,"A country in the southern hemisphere comprising the mainland of the world's smallest continent, the major island of Tasmania, and a number of other islands in the Indian and Pacific Oceans. The neighbouring countries are Indonesia, East Timor, and Papua New Guinea to the north, the Solomon Islands, Vanuatu, and New Caledonia to the north-east, and New Zealand to the south-east. Australia has six states, two major mainland territories, and other minor territories. ",url:http://en.wikipedia.org/wiki/Australia,gaz,subclass,,wikidata:Q408
GAZ:00002942,GAZ:00002942,Austria,GAZ:00000464,"A landlocked country in Central Europe. It borders both Germany and the Czech Republic to the north, Slovakia and Hungary to the east, Slovenia and Italy to the south, and Switzerland and Liechtenstein to the west. The capital is the city of Vienna on the Danube River. Austria is divided into nine states (Bundeslander). These states are then divided into districts (Bezirke) and cities (Statutarstadte). Districts are subdivided into municipalities (Gemeinden). Cities have the competencies otherwise granted to both districts and municipalities.",url:http://en.wikipedia.org/wiki/Austria,gaz,subclass,,wikidata:Q40
GAZ:00004941,GAZ:00004941,Azerbaijan,GAZ:00000465,"A country in the South Caucasus region of Eurasia, it is bounded by the Caspian Sea to the east, Russia to the north, Georgia to the northwest, Armenia to the west, and Iran to the south. The Azerbaijani exclave of Nakhchivan is bordered by Armenia to the north and east, Iran to the south and west, and Turkey to the northwest. Nagorno-Karabakh, along with 7 other districts in Azerbaijan's southwest, have been controlled by Armenia since the end of the Nagorno-Karabakh War in 1994. Azerbaijan is divided into 59 rayons 11 city districts (saharlar), and one autonomous republic (muxtar respublika).",url:http://en.wikipedia.org/wiki/Azerbaijan,gaz,subclass,,wikidata:Q227
GAZ:00002733,GAZ:00002733,Bahamas,GAZ:07000070,"A country consisting of two thousand cays and seven hundred islands that form an archipelago. It is located in the Atlantic Ocean, southeast of Florida and the United States, north of Cuba, the island of Hispanola and the Caribbean, and northwest of the British overseas territory of the Turks and Caicos Islands. It is divided into 32 districts, plus New Providence, whose affairs are handled directly by the central government.",url:http://en.wikipedia.org/wiki/Bahamas,gaz,subclass,The Bahamas,wikidata:Q778
GAZ:00005281,GAZ:00005281,Bahrain,GAZ:00000465,"A borderless island country in the Persian Gulf. Saudi Arabia lies to the west and is connected to Bahrain by the King Fahd Causeway, and Qatar is to the south across the Gulf of Bahrain. Bahrain is split into five governorates.",url:http://en.wikipedia.org/wiki/Bahrain,gaz,subclass,,wikidata:Q398
GAZ:00003750,GAZ:00003750,Bangladesh,GAZ:00000465,"A country in South Asia. It is bordered by India on all sides except for a small border with Myanmar to the far southeast and by the Bay of Bengal to the south. Bangladesh is divided into six administrative divisions. Divisions are subdivided into districts (zila). There are 64 districts in Bangladesh, each further subdivided into upazila (subdistricts) or thana (""police stations"").",url:http://en.wikipedia.org/wiki/Bangladesh,gaz,subclass,,wikidata:Q902
